Cut Comuna,Nombre,P_Trabajo,P_salud,P_Seguridad,P_EntretenciÛn,Total
15101,Arica,3,3,3,1,10
15102,Camarones,1,1,1,0,3
15201,Putre,1,1,2,0,4
15202,General Lagos,1,1,2,0,4
1101,Iquique,3,3,2,1,9
1107,Alto Hospicio,3,2,1,0,6
1401,Pozo Almonte,2,1,1,0,4
1403,Camina,1,1,1,0,3
1402,Colchane,1,1,1,0,3
1405,Huara,2,1,1,0,4
1404,Pica,1,1,1,0,3
2101,Antofagasta,3,3,2,1,9
2102,Mejillones,2,1,1,0,4
2103,Sierra Gorda,2,1,1,0,4
2104,Taltal,2,1,1,0,4
2201,Calama,3,3,2,1,9
2202,Ollague,1,1,1,0,3
2203,San Pedro de Atacama,2,1,1,0,4
2301,Tocopilla,2,1,1,0,4
2302,Maria Elena,1,1,1,0,3
3101,Copiapo,3,3,3,0,9
3102,Caldera,2,1,1,1,5
3103,Tierra Amarilla,2,1,1,0,4
3201,ChaÒaral,1,1,1,0,3
3202,Diego de Almagro,2,1,2,1,6
3301,Vallenar,3,3,2,1,9
3302,Alto del Carmen,1,1,2,0,4
3303,Freirina,1,1,1,0,3
3304,Huasco,1,1,1,0,3
4101,La Serena,3,3,3,1,10
4102,Coquimbo,3,3,3,1,10
4103,Andacollo,1,1,1,0,3
4104,La Higuera,1,1,1,0,3
4105,Paihuano,1,1,1,0,3
4106,VicuÒa,3,2,2,0,7
4201,Illapel,3,2,1,0,6
4202,Canela,1,2,1,0,4
4203,Los Vilos,2,1,1,0,4
4204,Salamanca,3,2,1,0,6
4301,Ovalle,3,3,2,0,8
4302,Combarbala,2,2,1,0,5
4303,Monte Patria,3,2,2,0,7
4304,Punitaqui,1,1,1,0,3
4305,Rio Hurtado,1,1,1,0,3
5101,Valparaiso,3,3,3,1,10
5102,Casablanca,3,1,1,0,5
5103,Concon,3,1,1,0,5
5104,Juan Fernandez,1,1,1,0,3
5105,Puchuncavi,2,1,2,0,5
5107,Quintero,3,1,1,1,6
5109,ViÒa del Mar,3,3,3,1,10
5201,Isla de Pascua,1,1,1,0,3
5301,Los Andes,3,2,1,0,6
5302,Calle Larga,2,1,1,0,4
5303,Rinconada,1,1,1,0,3
5304,San Esteban,2,1,1,0,4
5401,La Ligua,3,2,2,0,7
5402,Cabildo,2,1,1,0,4
5403,Papudo,1,1,1,0,3
5404,Petorca,1,1,2,0,4
5405,Zapallar,1,1,2,0,4
5501,Quillota,3,2,1,1,7
5502,La Calera,3,2,1,1,7
5503,Hijuelas,2,1,1,0,4
5504,La Cruz,2,1,1,0,4
5506,Nogales,2,1,1,0,4
5601,San Antonio,3,3,2,1,9
5602,Algarrobo,2,1,1,0,4
5603,Cartagena,2,1,1,0,4
5604,El Quisco,2,1,1,0,4
5605,El Tabo,2,1,1,0,4
5606,Santo Domingo,2,1,1,0,4
5701,San Felipe,3,2,2,1,8
5702,Catemu,2,1,2,0,5
5703,Llay-Llay,3,1,1,0,5
5704,Panquehue,1,1,1,0,3
5705,Putaendo,2,1,2,0,5
5706,Santa Maria,2,1,1,0,4
5801,Quilpue,3,2,1,0,6
5802,Limache,3,1,1,0,5
5803,Olmue,2,1,1,0,4
5804,Villa Alemana,3,1,1,1,6
13101,Santiago,3,3,3,0,9
13102,Cerrillos,3,1,1,0,5
13103,Cerro Navia,3,2,1,0,6
13104,Conchali,3,2,2,0,7
13105,El Bosque,3,2,1,0,6
13106,Estacion Central,3,2,1,0,6
13107,Huechuraba,3,1,1,0,5
13108,Independencia,3,2,3,1,9
13109,La Cisterna,3,1,2,1,7
13110,La Florida,3,3,2,1,9
13111,La Granja,3,2,2,0,7
13112,La Pintana,3,2,1,1,7
13113,La Reina,3,2,1,0,6
13114,Las Condes,3,3,2,1,9
13115,Lo Barnechea,3,2,2,1,8
13116,Lo Espejo,3,2,2,0,7
13117,Lo Prado,3,2,1,0,6
13118,Macul,3,2,1,1,7
13119,Maipu,3,3,2,1,9
13120,—uÒoa,3,3,2,0,8
13121,Pedro Aguirre Cerda,3,2,2,0,7
13122,PeÒalolen,3,2,2,0,7
13123,Providencia,3,3,1,0,7
13124,Pudahuel,3,3,2,0,8
13125,Quilicura,3,2,1,0,6
13126,Quinta Normal,3,2,2,0,7
13127,Recoleta,3,2,2,1,8
13128,Renca,3,1,1,0,5
13129,San Joaquin,3,2,1,1,7
13130,San Miguel,3,3,1,0,7
13131,San Ramon,3,2,1,0,6
13132,Vitacura,3,2,1,0,6
13201,Puente Alto,3,3,2,0,8
13202,Pirque,3,1,1,0,5
13203,San Jose de Maipo,2,1,1,0,4
13301,Colina,3,2,2,0,7
13302,Lampa,3,1,2,0,6
13303,Til Til,2,1,2,0,5
13401,San Bernardo,3,3,2,1,9
13402,Buin,3,2,2,1,8
13403,Calera de Tango,3,1,1,0,5
13404,Paine,3,2,2,0,7
13501,Melipilla,3,2,2,1,8
13502,Alhue,1,1,1,0,3
13503,Curacav1,3,1,1,0,5
13504,Maria Pinto,2,1,1,0,4
13505,San Pedro,1,1,1,0,3
13601,Talagante,3,2,1,0,6
13602,El Monte,3,1,2,0,6
13603,Isla de Maipo,3,1,1,0,5
13604,Padre Hurtado,3,1,1,0,5
13605,PeÒaflor,3,2,1,0,6
6101,Rancagua,3,3,2,1,9
6102,Codegua,2,1,1,0,4
6103,Coinco,1,1,1,0,3
6104,Coltauco,2,1,1,0,4
6105,DoÒihue,2,1,1,0,4
6106,Graneros,3,1,1,0,5
6107,Las Cabras,3,2,2,0,7
6108,Machali,3,1,2,0,6
6109,Malloa,2,1,1,0,4
6110,Mostazal,3,1,1,0,5
6111,Olivar,2,1,1,0,4
6112,Peumo,2,1,1,0,4
6113,Pichidegua,2,1,1,0,4
6114,Quinta de Tilcoco,2,1,1,0,4
6115,Rengo,3,2,2,0,7
6116,Requinoa,3,1,1,0,5
6117,San Vicente,3,2,2,1,8
6201,Pichilemu,2,1,1,0,4
6202,La Estrella,1,1,1,0,3
6203,Litueche,1,1,2,0,4
6204,Marchihue,1,1,1,0,3
6205,Navidad,1,1,1,0,3
6206,Paredones,1,1,1,0,3
6301,San Fernando,3,3,2,1,9
6302,Chepica,2,1,1,0,4
6303,Chimbarongo,3,2,1,0,6
6304,Lolol,1,1,1,0,3
6305,Nancagua,2,1,1,0,4
6306,Palmilla,2,1,1,0,4
6307,Peralillo,1,1,1,0,3
6308,Placilla,1,1,1,0,3
6309,Pumanque,1,1,1,0,3
6310,Santa Cruz,3,2,1,1,7
7101,Talca,3,3,3,1,10
7102,Constitucion,3,2,2,0,7
7103,Curepto,1,2,1,0,4
7104,Empedrado,1,1,1,0,3
7105,Maule,3,1,2,0,6
7107,Pelarco,1,1,1,0,3
7106,Pencahue,1,1,2,0,4
7108,Rio Claro,2,1,2,0,5
7109,San Clemente,3,3,2,0,8
7110,San Rafael,1,1,1,0,3
7201,Cauquenes,3,3,2,1,9
7202,Chanco,1,1,1,0,3
7203,Pelluhue,1,1,1,0,3
7301,Curico,3,3,3,1,10
7302,HualaÒe,1,1,1,0,3
7303,Licanten,1,1,1,0,3
7304,Molina,3,1,2,0,6
7305,Rauco,1,1,1,0,3
7306,Romeral,2,1,2,0,5
7307,Sagrada Familia,2,1,2,0,5
7308,Teno,3,1,2,0,6
7309,Vichuqu√©n,1,1,2,0,4
7401,Linares,3,3,3,1,10
7402,Colbun,2,1,2,0,5
7403,Longavi,3,2,2,0,7
7404,Parral,3,2,2,0,7
7405,Retiro,2,2,2,0,6
7406,San Javier,3,2,2,0,7
7407,Villa Alegre,2,1,2,0,5
7408,Yerbas Buenas,2,1,1,0,4
16101,Chillan ,3,3,2,1,9
16102,Bulnes,2,1,1,0,4
16103,Chillan Viejo,3,1,1,0,5
16104,El Carmen,1,2,1,0,4
16105,Pemuco,1,1,1,0,3
16106,Pinto,1,1,2,0,4
16107,Quillon,2,1,1,0,4
16108,San Ignacio,2,1,2,0,5
16109,Yungay,2,1,1,0,4
16201,Quirihue,1,1,1,0,3
16202,Cobquecura,1,1,1,0,3
16203,Coelemu,2,1,2,0,5
16204,Ninhue,1,1,1,0,3
16205,Portezuelo,1,1,1,0,3
16206,R√°nquil,1,1,1,0,3
16207,Treguaco,1,1,1,0,3
16301,San Carlos,3,2,2,0,7
16302,Coihueco,2,1,2,0,5
16303,√ëiqu√©n,1,1,1,0,3
16304,San Fabian,1,1,1,0,3
16305,San Nicolas,1,1,1,0,3
8101,Concepci√≥n,3,3,2,1,9
8102,Coronel,3,2,2,1,8
8103,Chiguayante,3,1,1,0,5
8104,Florida,1,1,1,0,3
8105,Hualqui,2,1,2,0,5
8106,Lota,3,1,1,0,5
8107,Penco,3,1,1,0,5
8108,San Pedro de La Paz,3,2,1,0,6
8109,Santa Juana,2,1,1,0,4
8110,Talcahuano,3,3,2,1,9
8111,Tome,3,2,2,0,7
8112,Hualpen,3,2,1,0,6
8201,Lebu,3,2,2,0,7
8202,Arauco,3,2,2,0,7
8203,CaÒete,3,2,1,0,6
8204,Contulmo,1,1,1,0,3
8205,Curanilahue,3,1,1,0,5
8206,Los √Ålamos,2,1,1,0,4
8207,Tirua,1,1,1,0,3
8301,Los √Ångeles,3,3,3,1,10
8302,Antuco,1,1,1,0,3
8303,Cabrero,3,2,2,0,7
8304,Laja,2,1,1,0,4
8305,Mulchen,3,2,1,0,6
8306,Nacimiento,2,2,1,0,5
8307,Negrete,1,1,1,0,3
8308,Quilaco,1,1,2,0,4
8309,Quilleco,1,1,1,0,3
8310,San Rosendo,1,1,1,0,3
8311,Santa Barbara,1,1,1,0,3
8312,Tucapel,1,1,2,0,4
8313,Yumbel,2,1,2,0,5
8314,Alto Biobio,1,2,1,0,4
9101,Temuco,3,3,2,1,9
9102,Carahue,2,2,2,0,6
9103,Cunco,2,2,2,0,6
9104,Curarrehue,1,1,2,0,4
9105,Freire,2,2,2,0,6
9106,Galvarino,1,2,1,0,4
9107,Gorbea,2,1,2,0,5
9108,Lautaro,3,2,2,0,7
9109,Loncoche,2,1,2,0,5
9110,Melipeuco,1,1,1,0,3
9111,Nueva Imperial,3,2,1,0,6
9112,Padre Las Casas,3,2,1,0,6
9113,Perquenco,1,1,1,0,3
9114,Pitrufquen,2,2,1,0,5
9115,Pucon,3,2,1,0,6
9116,Saavedra,1,2,1,0,4
9117,Teodoro Schmidt,2,1,2,0,5
9118,Tolten,1,1,1,0,3
9119,Vilcun,3,1,2,0,6
9120,Villarrica,3,2,1,0,6
9121,Cholchol,1,1,1,0,3
9201,Angol,3,3,1,1,8
9202,Collipulli,2,2,2,0,6
9203,Curacautin,2,2,2,0,6
9204,Ercilla,1,1,1,0,3
9205,Lonquimay,1,2,2,0,5
9206,Los Sauces,1,1,1,0,3
9207,Lumaco,1,1,2,0,4
9208,Puren,1,1,1,0,3
9209,Renaico,1,1,1,0,3
9210,Traiguen,2,1,1,0,4
9211,Victoria,3,2,2,0,7
14101,Valdivia,3,3,3,1,10
14102,Corral,1,1,1,0,3
14103,Lanco,2,1,1,0,4
14104,Los Lagos,2,2,2,0,6
14105,Mafil,1,1,1,0,3
14106,Mariquina,2,2,1,0,5
14107,Paillaco,2,1,2,0,5
14108,Panguipulli,3,2,2,0,7
14201,La Union,3,2,2,0,7
14202,Futrono,2,1,1,0,4
14203,Lago Ranco,1,1,2,0,4
14204,Rio Bueno,3,2,2,0,7
10101,Puerto Montt,3,3,3,1,10
10102,Calbuco,3,3,2,0,8
10103,Cochamo,1,2,2,0,5
10104,Fresia,2,1,2,0,5
10105,Frutillar,2,2,1,0,5
10106,Los Muermos,2,1,2,0,5
10107,Llanquihue,2,1,2,0,5
10108,Maullin,2,1,2,0,5
10109,Puerto Varas,3,2,2,0,7
10201,Castro,3,3,1,0,7
10202,Ancud,3,2,2,0,7
10203,Chonchi,2,2,1,0,5
10204,Curaco de Velez,1,1,1,0,3
10205,Dalcahue,2,1,1,0,4
10206,Puqueldon,1,1,1,0,3
10207,Queilen,1,2,1,0,4
10208,Quellon,3,3,1,0,7
10209,Quemchi,1,2,1,0,4
10210,Quinchao,1,2,1,0,4
10301,Osorno,3,3,3,1,10
10302,Puerto Octay,1,1,2,0,4
10303,Purranque,2,2,2,0,6
10304,Puyehue,1,1,1,0,3
10305,Rio Negro,2,1,1,0,4
10306,San Juan de la Costa,1,1,1,0,3
10307,San Pablo,1,1,2,0,4
10401,Chaiten,1,2,1,0,4
10402,Futaleufu,1,1,1,0,3
10403,Hualaihue,1,1,2,0,4
10404,Palena,1,1,1,0,3
11101,Coyhaique,3,3,3,0,9
11102,Lago Verde,1,1,2,0,4
11201,Aysen,3,2,2,0,7
11202,Cisnes,1,1,2,0,4
11203,Guaitecas,1,1,1,0,3
11301,Cochrane,1,1,1,0,3
11302,O'Higgins,1,1,1,0,3
11303,Tortel,1,1,1,0,3
11401,Chile Chico,1,1,1,0,3
11402,Rio IbaÒez,1,1,1,0,3
12101,Punta Arenas,3,3,2,1,9
12104,San Gregorio,1,1,2,0,4
12201,Cabo de Hornos,1,1,2,0,4
12301,Porvenir,1,1,1,0,3
12302,Primavera,1,1,1,0,3
12401,Natales,3,1,2,0,6
12402,Torres del Paine,1,1,1,0,3
